Name,Status,Launch Service Provider,Rocket,Mission,Net,Pad
Falcon 9 Block 5 | Galaxy 37,Launch Successful,SpaceX,Falcon 9,Galaxy 37,08/03/2023 1 a.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA"
Falcon 9 Block 5 | Starlink Group 6-8,Launch Successful,SpaceX,Falcon 9,Starlink Group 6-8,08/06/2023 10:41 p.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA"
Soyuz 2.1b/Fregat-M | Glonass-K2 No. 13 (Kosmos 2569),Launch Successful,Russian Space Forces,Soyuz 2.1b/Fregat-M,Glonass-K2 No. 13 (Kosmos 2569),08/07/2023 9:20 a.m.,"43/3 (43L) | Plesetsk Cosmodrome, Russian Federation"
Falcon 9 Block 5 | Starlink Group 6-20,Launch Successful,SpaceX,Falcon 9,Starlink Group 6-20,08/07/2023 11:57 p.m.,"Space Launch Complex 4E | Vandenberg SFB, CA, USA"
Long March 2C | 5 m S-SAR-02 (Huanjing-2F),Launch Successful,China Aerospace Science and Technology Corporation,Long March 2,5 m S-SAR-02 (Huanjing-2F),08/08/2023 6:53 p.m.,"Launch Complex 9 | Taiyuan Satellite Launch Center, People's Republic of China"
Ceres-1 | 7 satellites,Launch Successful,Galactic Energy,Ceres-1,7 satellites,08/10/2023 12:03 a.m.,"Launch Area 95A | Jiuquan Satellite Launch Center, People's Republic of China"
SpaceShipTwo | Galactic 02,Launch Successful,Virgin Galactic,SpaceShipTwo,Galactic 02,08/10/2023 11:17 a.m.,Spaceport America | Air launch to Suborbital flight
Soyuz 2.1b/Fregat-M | Luna 25,Launch Successful,Russian Federal Space Agency (ROSCOSMOS),Soyuz 2.1b/Fregat-M,Luna 25,08/10/2023 7:10 p.m.,"Cosmodrome Site 1S | Vostochny Cosmodrome, Siberia, Russian Federation"
Falcon 9 Block 5 | Starlink Group 6-9,Launch Successful,SpaceX,Falcon 9,Starlink Group 6-9,08/11/2023 1:17 a.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA"
Long March 3B/E | L-SAR4-01 (LTDC-4A),Launch Successful,China Aerospace Science and Technology Corporation,Long March 3,L-SAR4-01 (LTDC-4A),08/12/2023 1:26 p.m.,"Launch Complex 2 (LC-2) | Xichang Satellite Launch Center, People's Republic of China"
Kuaizhou-1A | HEAD-3A/B/C/D/E,Launch Successful,ExPace,Kuaizhou,HEAD-3A/B/C/D/E,08/14/2023 1:32 a.m.,"Mobile Launcher Pad | Xichang Satellite Launch Center, People's Republic of China"
Falcon 9 Block 5 | Starlink Group 6-10,Launch Successful,SpaceX,Falcon 9,Starlink Group 6-10,08/16/2023 11:36 p.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA"
Long March 4C | Gaofen-12 04,Launch Successful,China Aerospace Science and Technology Corporation,Long March 4C,Gaofen-12 04,08/20/2023 1:45 p.m.,"Launch Area 4 (SLS-2 / 603) | Jiuquan Satellite Launch Center, People's Republic of China"
Falcon 9 Block 5 | Starlink Group 7-1,Launch Successful,SpaceX,Falcon 9,Starlink Group 7-1,08/22/2023 5:37 a.m.,"Space Launch Complex 4E | Vandenberg SFB, CA, USA"
Soyuz 2.1a | Progress MS-24 (85P),Launch Successful,Russian Federal Space Agency (ROSCOSMOS),Soyuz 2.1a,Progress MS-24 (85P),08/22/2023 9:08 p.m.,"31/6 | Baikonur Cosmodrome, Republic of Kazakhstan"
Chollima-1 | Malligyong-1b,Launch Failure,National Aerospace Development Administration,Chollima-1,Malligyong-1b,08/23/2023 2:54 p.m.,"Malligyong-1 Pad | Sohae Satellite Launching Station, Cholsan County, North Pyongan Province, Democratic People's Republic of Korea"
Electron | We Love the Nightlife (Capella Acadia 1),Launch Successful,Rocket Lab,Electron,We Love the Nightlife (Capella Acadia 1),08/23/2023 7:45 p.m.,"Rocket Lab Launch Complex 1B | Onenui Station, Mahia Peninsula, New Zealand"
Ceres-1 | Jilin-1 Wideband-02A,Launch Successful,Galactic Energy,Ceres-1,Jilin-1 Wideband-02A,08/25/2023 12:59 a.m.,"Launch Area 95A | Jiuquan Satellite Launch Center, People's Republic of China"
